2025-04-15 10:04:22 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:22 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:23 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:23 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:24 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:24 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:24 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:24 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:25 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:25 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:26 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:26 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:26 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:27 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:27 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:27 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:27 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:27 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:28 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:28 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:29 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:29 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:29 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:30 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:30 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:31 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:31 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:31 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:31 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:32 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:32 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:33 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:33 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:33 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:34 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:34 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:34 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:34 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:35 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:35 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:36 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:36 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:36 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:36 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:37 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:37 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:38 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:38 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:38 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:38 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:39 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:39 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:39 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:39 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:40 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:40 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:40 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:41 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:41 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:41 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:41 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:42 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:42 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:42 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:42 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:43 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:43 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:43 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:44 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:44 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:44 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:44 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:45 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:45 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:45 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:45 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:46 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:46 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:46 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:46 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:47 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:47 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:47 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:47 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:48 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:48 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:48 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:48 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:49 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:49 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:49 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:49 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:50 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:50 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:50 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:51 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:51 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:51 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:51 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:52 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:52 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:52 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:52 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:53 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:53 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:53 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:54 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:54 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:55 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:55 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:55 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:56 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:56 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:57 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:57 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:57 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:58 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:58 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:04:59 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:04:59 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:00 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:00 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:00 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:00 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:01 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:01 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:01 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:02 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:02 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:02 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:02 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:03 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:03 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:03 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:03 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:04 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:04 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:04 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:04 [ 1508] INFO  : 0,-128,-1
2025-04-15 10:05:05 [12764] INFO  : Stop Iperf3 Client
2025-04-15 10:05:05 [12764] INFO  : Stop Iperf3 Client
